Gene symbol	B cells naive	T cells CD8	NK cells resting	Monocytes
FCER1A	106.1351171	111.3010937	168.922198	622.2119019
FCER2	990.3077473	8.626141867	12.55432737	12.66527557
FCGR2B	3389.8606	65.97309417	119.9451162	287.6388369
FCGR3B	434.6883898	178.1993614	494.7560439	402.4458452
FCN1	160.5487443	130.0754644	465.2336051	29800.42108
FCRL2	4384.737162	73.7221496	54.32604608	47.6563456
FES	8.544430362	9.520155138	211.838797	826.5409485
FFAR2	12.83845224	11.77579288	73.96615142	101.05938
FLJ13197	129.5124355	167.3200623	147.0679625	15.24807194
FLT3LG	26.22845437	1267.031752	226.7845957	69.27835254
FLVCR2	69.18049192	83.37381583	140.2531417	566.9712028
FOSB	200.0093028	41.65285438	32.22859594	3422.450435
FOXP3	135.9782583	65.14694151	31.98561018	76.15295297
FPR1	361.3212533	210.2034137	397.2639649	9800.634834
FPR2	227.4506603	54.91749032	88.1553815	964.2419055
FPR3	325.6674246	105.807962	112.657984	203.421307
FRK	138.3048999	26.38936082	3.655442581	7.43265118
FRMD4A	57.81750686	49.31923782	46.14200777	52.74025927
FRMD8	197.3732828	28.9702418	249.1822219	247.2516889
FZD2	40.20305932	13.86980966	21.52230454	455.2912189
FZD3	121.5674974	50.26515479	29.43502605	39.70835546
GAL3ST4	69.54706802	335.5930908	35.6643216	44.09898382
GALR1	2.661554274	3.908160923	4.227180464	4.179834102
GFI1	27.63680315	293.640883	508.7800779	19.38352568
GGT5	11.49823256	12.99967839	16.95386801	11.13018839
GIPR	8.245074698	10.90883943	13.45361226	8.506723418
GNG7	768.0078466	133.5514698	60.45334031	112.449475
GNLY	9.016559093	3732.536058	21760.60028	19.94743339
GPC4	126.6902267	43.02443597	77.48575035	56.14456485
GPR1	3.129845825	1.559283973	17.25032467	5.245664557
GPR171	33.51495052	924.3717963	443.0770732	14.67922106
GPR18	3056.84082	1037.066376	1204.171373	109.6660347
GPR183	275.8348106	630.5280037	216.2351844	196.979149
GPR19	27.02537152	40.61246787	42.35493987	19.81202335
GPR25	4.292572754	28.7191378	11.1673751	14.04592183
GPR65	507.5709281	1518.573945	2138.331722	1473.160908
GPR97	154.4101049	104.9389313	295.1646205	71.26388228
GRAP2	12.62708927	280.9234111	200.763896	11.82509864
GSTT1	6.958858985	18.64410933	15.93181405	17.31196185
GUSBP11	8048.07448	521.3361484	311.6532884	43.51505491
GYPE	38.71816582	26.87927605	15.90605862	6.627731906
GZMA	204.958358	6301.839315	13660.47953	132.0433731
GZMB	102.255299	2080.697741	15276.85279	61.71915165
GZMH	21.35853068	8555.821981	11889.00904	36.90093477
GZMK	184.0395826	8814.387272	1967.19369	67.13748264
GZMM	6.305414565	1048.989355	3771.290343	13.20630847
HAL	380.2322774	84.17530879	99.60146076	877.1793038
HCK	273.5706061	106.4569423	391.7033029	7368.002228
HDC	147.9736788	123.8596636	200.3498771	129.5522336
HESX1	6.869435614	7.046990167	8.440480409	8.365084929
HHEX	4489.488986	139.0353705	245.8936654	1914.137567
HIC1	5.092351833	8.159927666	15.68354842	7.017818913
HIST1H2AE	35.26722995	29.91298037	14.84822972	8.28188422
HIST1H2BG	17.44318854	78.31604621	68.37610587	23.39236935
HK3	12.94364358	21.81413027	222.5053519	3103.136582
HLA-DOB	6607.334733	212.2757519	230.4248523	102.1825691
HLA-DQA1	942.7749076	173.4117383	219.2102706	275.3534268
HMGB3P30	30.97425375	42.79987867	38.72002482	27.19577484
HNMT	61.73602193	19.61866274	26.91293797	815.4265044
HOXA1	12.90856012	12.85536224	11.76733746	10.68723722
HPGDS	203.7910498	83.72110944	177.6752993	36.75265198
HPSE	30.8024485	55.34751097	29.9724331	1285.833086
HRH1	206.5394742	75.97436695	54.07639831	72.1745748
HSPA6	70.64960056	106.7169109	184.8377232	641.2142131
HTR2B	6.171513508	22.71063607	30.97175272	13.85052231
ICA1	191.4053509	134.2533776	133.7203845	183.2555042
ICOS	6.458825767	194.1905981	12.554434	5.362446048
IDO1	241.0650179	241.3331484	667.1972433	269.4662793
IFI44L	24.57422621	84.26221988	302.4006942	307.8493777
IFNA10	63.51120873	12.57137446	8.565645005	13.10429637
IFNG	233.2462403	249.0786281	247.3486217	108.1486375
IGHD	10811.41236	62.3476822	32.58210537	50.4303708
IGHE	18.17410575	15.63289317	19.3650878	25.291882
IGHM	21960.79819	361.7379219	162.309451	127.0436672
IGKC	27164.52012	3097.474216	324.3571791	318.0695055
IGLL3P	6633.535586	217.4652812	33.45486904	70.0394246
IGSF6	46.07125476	27.09871228	100.2893009	2662.140929
IL12B	105.275436	41.94288686	85.58316556	42.42610973
IL12RB2	13.44126834	95.11508424	594.0469774	20.50390251
IL17A	24.10976356	7.018701499	9.511607877	7.929351943
IL18R1	32.74521328	197.574303	829.4466231	19.50301241
IL18RAP	63.16533501	541.6070596	6172.262928	92.02184739
IL1A	207.8094975	65.8236721	81.80415638	61.10993853
IL1B	508.1423339	144.2186891	250.0432905	1257.182131
IL1RL1	161.2444569	34.56285806	65.350782	37.42366918
IL21	346.0439646	59.42001123	38.68027919	103.5720427
IL26	6.120665994	7.410920044	7.691378335	3.424557859
IL2RA	151.2654723	85.8239546	42.04435301	25.41115885
IL2RB	2118.459057	4000.216538	18026.39249	321.9612928
IL3	20.12785138	9.157134905	13.59206642	11.52632712
IL4	10.0823446	13.17067743	12.25198156	8.872339575
IL4R	11009.29392	884.659355	851.30019	1192.215763
IL5	6.618252721	18.71157669	8.169496573	11.47899088
IL5RA	122.2890422	42.9451164	45.67953351	41.02366335
IL7	250.9247833	41.57938135	24.76130902	51.3943268
IL7R	277.7164299	15195.16858	1159.340489	163.3050166
IL9	60.05830259	43.06562332	45.8168679	15.74553195
IRF8	9506.386392	350.3493603	1625.377439	2458.705658
ITK	468.9985735	6471.889098	3056.935046	124.1014103
KCNA3	306.2764477	573.9051164	411.3943392	143.5528595
KCNG2	12.5310046	18.15238454	17.88167287	18.84293691
KIAA0226L	7209.224512	41.69784069	54.34410784	176.3964323
KIAA0754	9.870549848	23.11849958	151.0455484	44.79047534
KIR2DL1	7.406441697	8.01647279	281.9844186	5.116435124
KIR2DL4	331.7763894	122.2246008	602.9726262	128.8246048
KIR2DS4	621.6999538	280.1613018	1172.82887	129.0849772
KIR3DL2	12.24576038	22.06039056	511.2935608	11.38893073
KIRREL	15.52894714	34.23347857	18.20868192	13.64075973
KLRB1	119.5727193	8818.269216	12957.39238	90.24623781
KLRC3	13.84066629	724.7758509	1485.991589	12.58558886
KLRC4	68.25016134	218.1751146	205.1777143	20.05492885
KLRD1	204.0068731	1670.271427	7278.146564	81.02147756
KLRF1	153.1504496	851.1875307	10475.7852	100.1145382
KLRG1	1351.157456	3859.14824	1700.856514	305.4474128
KLRK1	670.2708554	8228.460511	8790.503534	78.91616578
KRT18P50	23.97041806	23.80795592	23.74696304	58.20626127
KYNU	296.2994306	45.94858696	70.07148215	858.7450615
LAG3	36.29565926	521.3214165	139.8539928	7.92284356
LAIR2	424.4791722	1078.390893	1596.837227	103.0030242
LAMP3	47.28278554	134.7841361	210.8261404	38.76231871
LAT	157.4129632	3224.978584	1722.578313	239.5833162
LCK	337.4400897	8763.864592	3604.565205	80.75884433
LEF1	30.90820518	1204.840659	115.1927029	12.54164279
LHCGR	154.6890469	9.897454754	21.7148195	11.47012114
LILRA2	20.88194891	20.16252339	101.3950793	1764.823942
LILRA3	7.153043448	9.02114446	20.37949338	880.456908
LILRA4	33.02123349	24.77824314	19.49828414	65.68769791
LILRB2	30.88657745	25.57422148	201.7195756	3344.118855
LIME1	23.92087663	1287.731562	181.4780792	78.16252525
LINC00597	15.98296208	6.841729202	128.013785	23.18626902
LINC00921	675.1218227	132.8112012	116.2458441	69.03803764
LOC100130100	19.84751256	23.05076042	10.35285767	16.13831431
LOC126987	135.5693196	72.45319298	86.37729281	68.19210687
LRMP	2106.83981	631.9125478	1245.630394	1048.681062
LST1	29.98420127	520.3780954	672.9594285	5975.189254
LTA	11.68110017	21.16573991	24.18839952	12.51621864
LTB	10351.64143	9829.724672	1009.906661	321.3564756
LTC4S	61.1295924	132.3582101	162.8566162	91.87551209
LY86	6947.982466	382.951912	243.1158973	5218.063407
LY9	289.0732036	1310.964334	271.972779	30.00087721
MAGEA11	21.99996581	20.72781035	19.87971163	5.93274616
MAK	20.11347878	8.152190939	11.47152467	24.81417634
MAN1A1	293.5258353	239.4182791	381.9911766	205.5255231
MANEA	3.436589508	52.68877507	72.1721013	67.09972733
MAP3K13	5.152513024	7.381955365	7.176074961	7.051783275
MAP4K1	48.65001463	1721.22046	747.3149188	317.9668785
MAP4K2	10.65044684	17.70603378	11.12538801	12.04202684
MAP9	10.29840785	93.40076641	37.63679768	1.421006596
3-Mar	611.9846331	78.87501105	190.5710992	103.5658121
MARCO	9.029403736	14.45792523	16.1160018	236.7362055
MAST1	9.251047619	6.640168162	10.71480628	8.492607794
MBL2	59.05366978	2.661464134	14.15214366	4.939369175
MEFV	27.28348256	10.29578093	19.76334445	552.7124986
MEP1A	939.6261506	54.17625589	85.62849683	98.26125945
MGAM	8.043975587	3.964324624	314.5412721	159.713285
MICAL3	328.9820884	100.6010965	40.04773519	15.57018571
MMP12	746.9258791	79.27159307	98.16379	95.85109514
MMP25	136.2875659	211.5319494	149.937847	446.4796965
MMP9	338.94428	286.9137339	688.2490954	335.4295326
MNDA	29.5032353	50.81863936	790.3716005	11447.56145
MROH7	23.05515036	28.67423007	19.11115142	31.92868262
MS4A1	18085.9446	343.9223112	193.3316222	128.6338935
MS4A2	151.2024037	108.6218788	93.27967612	52.17720971
MS4A3	121.2914634	80.86216165	592.6171613	23.55316735
MS4A6A	1102.971199	221.1962643	222.7095319	8814.800982
MSC	28.93411812	78.78518268	60.98475714	47.46789206
MXD1	22.77650595	67.17780431	201.8229525	250.0158171
MYB	365.4798555	647.9999569	615.5214621	300.7619354
MZB1	46.81934	42.83903749	21.76048739	24.85648896
NAALADL1	11.62316713	70.98305911	344.9584692	31.52382891
NCF2	153.4955828	62.34284219	483.3850653	12280.85608
NCR3	152.0118385	1756.075472	1482.733424	56.94572009
NFE2	6.094544149	107.3563954	134.3635052	1517.644033
NIPSNAP3B	1577.975004	128.0373349	152.7729655	89.57172242
NKG7	6.994769751	8640.630717	13911.17937	34.65463899
NLRP3	22.14183418	15.30576169	44.60257144	636.6292677
NMBR	507.384036	45.63830073	29.15508056	77.85728222
NME8	4.031081011	4.66238798	253.5462988	14.82529394
NOD2	6.932520098	8.398706067	178.2578801	1302.129171
NOX3	12.00966261	7.382208399	7.475615219	11.17305851
NPAS1	18.22767575	24.54202898	12.18029946	14.37797149
NPIPB15	1624.147916	315.43784	288.973686	176.7823779
NPL	18.58723205	84.14120251	98.03373398	856.4061947
NR4A3	136.961868	83.36646929	81.37480444	91.30097224
NTN3	6.560415317	8.668709617	5.960532656	8.728208573
NTRK1	13.56995609	10.62433837	9.510068915	11.91460935
ORC1	23.68477152	48.78745757	28.16743979	42.26892867
OSM	2.05303015	3.823397028	2.264192614	4.071675747
P2RX1	161.7246112	180.7978777	133.7653785	686.8592062
P2RX5	9725.14216	784.9884834	507.7460936	175.5409499
P2RY10	436.5800269	319.1050423	236.9914349	20.95780349
P2RY13	9.195676707	7.470609935	76.92819841	2786.279688
P2RY14	1638.857158	154.8611784	214.6448472	51.7107481
P2RY2	11.65755142	14.97257129	14.83438983	172.1808803
PADI4	10.86384541	54.8131472	117.7115047	765.8740271
PAQR5	23.55278029	14.17914437	16.92537277	14.23047428
PASK	513.8685117	1441.389436	194.6949707	146.7089795
PAX7	67.60022415	23.31147251	13.99767158	38.03678229
PBXIP1	399.906182	1520.324793	527.8700969	253.4748335
PCDHA5	5.122171371	15.43591938	10.21122017	10.28963858
PDCD1	103.8732743	153.8622347	128.5338061	153.2622842
PDCD1LG2	17.24705732	12.8049967	22.01108215	14.01790012
PDE6C	0.972464723	1.934003663	14.89875645	4.556478651
PDK1	32.80967907	231.2949243	32.92518869	25.63097887
PGLYRP1	18.90822468	9.957040446	99.27421716	13.97992365
PIK3IP1	2462.087898	5245.606657	1203.06945	647.7544918
PKD2L2	9.70690203	18.90534167	10.97872887	13.39656756
PLA1A	35.62073897	16.1139255	25.1394749	59.35576681
PLA2G7	100.7324553	24.31875779	73.09936856	1290.202807
PLCH2	31.91347153	26.92691404	152.093623	47.06577352
PLEKHF1	39.92144865	884.5112502	1513.840196	45.53332862
PLEKHG3	11.39071505	293.5247521	855.4915686	417.6498993
PMCH	12.39999002	7.056096164	6.727160344	9.49164333
PNOC	4198.527432	88.67789621	65.36645851	230.8474814
PPBP	112.7304414	61.67249965	37.90535113	80.46672814
PPFIBP1	68.77420162	40.76620059	21.69814253	24.45704984
PRF1	201.9573668	8182.518825	26164.60132	142.7487889
PRG2	98.84281244	126.6467707	70.81916153	117.086355
PRR5L	114.4648121	302.0175264	1048.389642	109.1297143
PSG2	1541.92252	157.1462452	148.4491223	170.0696655
PTGDR	84.74897834	549.7297474	1627.918557	36.25887091
PTGER2	47.37880726	2260.804067	2983.001501	1154.310555
PTGIR	32.06615205	46.51032228	31.06375629	482.8617503
PTPRCAP	4113.169696	4378.93295	3602.345527	35.76573661
PTPRG	106.5825021	3.798829584	8.39063172	6.373268195
PVRIG	874.708657	3978.913368	4533.058778	99.88281165
QPCT	15.58990295	24.03521349	69.39293926	1499.926054
RAB27B	7.831610308	25.25617138	91.19546276	6.931516995
RALGPS2	1597.105013	57.02675161	54.56356691	44.85995177
RASA3	10.56154776	270.9813064	212.7904928	93.34350756
RASGRP2	5911.213148	2427.952654	1363.762146	759.9791832
RASGRP3	458.3600431	16.2266408	15.51147933	11.43917669
RASSF4	22.67712362	22.98193781	228.5281547	672.1035142
RCAN3	46.66611859	155.029818	7.23560514	41.68337282
REN	63.75570668	30.74953796	26.14898837	31.44891199
RENBP	53.60553688	45.59103269	20.43861955	215.0882638
REPS2	40.36292074	13.88756297	16.00616409	153.2877211
RGS1	180.1991847	646.7216655	147.0419785	64.44174947
RGS13	71.26574474	26.92097022	36.27118978	18.73599553
RNASE2	186.4718703	216.8731189	663.0545505	3614.28076
RNASE6	1799.683549	17.05134667	84.58792101	4038.448716
RPL10L	36.038732	321.3503467	91.27669248	95.70491339
RPL3P7	76.85048537	1290.949662	256.6761145	109.4607889
RRP12	12.81515335	10.83222373	20.59701131	288.3451691
RRP9	9.544532505	92.36151715	53.29234769	36.13230183
RSAD2	215.2283477	164.1021811	300.3481477	334.986335
RYR1	108.5578105	134.6786684	38.11141231	128.5919034
S100A12	190.663133	103.0892269	1088.208915	11149.65069
S1PR5	7.997120003	41.04900098	587.6581174	6.788452669
SAMSN1	197.0884279	794.816235	1266.566015	1412.29406
SCN9A	7.11928632	5.599396915	11.24582219	6.128985193
SEC31B	64.80136266	423.4721951	248.3195373	136.5478618
SELL	11102.0298	7418.862396	5741.494585	7242.740165
5-Sep	10.89927471	13.1121548	19.49414625	16.50408571
8-Sep	27.7175438	31.02782537	26.97577912	15.62108755
SERGEF	15.69138202	63.60787074	64.18194259	20.42165917
SH2D1A	30.86641388	1249.210018	1296.002366	18.41801556
SIGLEC1	258.3004281	81.50052589	98.8058291	279.3221994
SIK1	5471.704926	1219.200313	457.6523281	544.8091055
SIRPG	74.41451203	1310.139566	98.34637628	54.8626275
SIT1	759.1593175	1457.873439	115.1265171	99.63796028
SKA1	4.914356682	2.220631652	17.19149842	3.198489691
SKAP1	1378.742233	2273.257742	2037.376281	155.1060459
SLAMF1	762.0351121	496.4217166	114.1243297	111.9089299
SLAMF8	156.6501475	107.6408152	170.4258874	166.4059352
SLC12A1	89.4899425	10.77936011	3.639923264	3.335133412
SLC12A8	7.225818568	14.91996119	10.14791696	11.98809147
SLC15A3	9.050871942	18.5710453	11.74522644	1682.54452
SLC2A6	112.56368	43.07557759	70.73672817	623.8936693
SLC7A10	66.78073716	33.20097043	31.85028897	34.30894984
SLCO5A1	118.7296898	30.06870751	73.09344194	40.69340961
SMPD3	70.72102235	70.12682543	89.68398839	35.63627466
SMPDL3B	2.724372492	3.73037929	4.588512766	4.661740608
SOCS1	27.14793524	160.8027185	49.70265419	20.71591309
SP140	881.125548	422.1251624	411.7724421	107.9949811
SPAG4	16.39614273	60.34817877	8.399871249	16.94563165
SPIB	3945.300733	67.02484651	106.9259138	116.3915428
SPOCK2	1531.023729	3283.92381	995.6524365	263.011432
SSX1	1.658857567	7.384988622	2.161370142	5.167103334
ST3GAL6	66.60162565	7.158395479	27.10829	357.9772296
ST6GALNAC4	264.3270269	408.1100167	240.2635016	195.8463286
ST8SIA1	50.56172691	75.93922657	6.718345522	8.218778885
